settlement_id,payment_id,amount,settlement_date,status
SET-1001,PAY-1001,1250.00,2026-08-04,SETTLED
SET-1002,PAY-1002,1500.00,2026-08-05,SETTLED
SET-1003,PAY-1003,1750.00,2026-08-06,SETTLED
SET-1004,PAY-1004,2000.00,2026-08-07,SETTLED
SET-1005,PAY-1005,2250.00,2026-08-08,SETTLED
SET-1006,PAY-1006,2500.00,2026-08-09,SETTLED
SET-1007,PAY-1007,2750.00,2026-08-10,SETTLED
SET-1008,PAY-1008,3000.00,2026-08-11,SETTLED
SET-1009,PAY-1009,3250.00,2026-08-12,SETTLED
SET-1010,PAY-1010,3500.00,2026-08-13,SETTLED
SET-1011,PAY-1011,3750.00,2026-08-14,SETTLED
SET-1012,PAY-1012,4000.00,2026-08-15,SETTLED
SET-1013,PAY-1013,4250.00,2026-08-16,SETTLED
SET-1014,PAY-1014,4500.00,2026-08-17,SETTLED
SET-1015,PAY-1015,4750.00,2026-08-03,SETTLED
SET-1016,PAY-1016,5000.00,2026-08-04,SETTLED
SET-1017,PAY-1017,19400.00,2026-08-05,SETTLED
SET-1018,PAY-1018,5500.00,2026-08-06,SETTLED
SET-1019,PAY-1019,5750.00,2026-08-07,SETTLED
SET-1020,PAY-1020,6000.00,2026-08-08,SETTLED
SET-1021,PAY-1021,6250.00,2026-08-09,SETTLED
SET-1022,PAY-1022,6500.00,2026-08-10,SETTLED
SET-1023,PAY-1023,6750.00,2026-08-11,SETTLED
SET-1024,PAY-1024,7000.00,2026-08-12,SETTLED
SET-1025,PAY-1025,7250.00,2026-08-13,SETTLED
SET-1026,PAY-1026,7500.00,2026-08-14,SETTLED
SET-1027,PAY-1027,7750.00,2026-08-15,SETTLED
SET-1028,PAY-1028,8000.00,2026-08-16,SETTLED
SET-1029,PAY-1029,8250.00,2026-08-17,SETTLED
SET-1030,PAY-1030,8500.00,2026-08-03,SETTLED
SET-1031,PAY-1031,8750.00,2026-08-04,SETTLED
SET-1032,PAY-1032,9000.00,2026-08-05,SETTLED
SET-1033,PAY-1033,9250.00,2026-08-06,SETTLED
SET-1034,PAY-1034,9500.00,2026-08-07,SETTLED
SET-1035,PAY-1035,9750.00,2026-08-08,SETTLED
SET-1036,PAY-1036,10000.00,2026-08-09,SETTLED
SET-1037,PAY-1037,10250.00,2026-08-10,SETTLED
SET-1038,PAY-1038,10500.00,2026-08-11,SETTLED
SET-1039,PAY-1039,10750.00,2026-08-12,SETTLED
SET-1040,PAY-1040,11000.00,2026-08-13,SETTLED
SET-1041,PAY-1041,11250.00,2026-08-14,SETTLED
SET-1042,PAY-1042,11500.00,2026-08-15,SETTLED
SET-1043,PAY-1043,11750.00,2026-08-16,SETTLED
SET-1044,PAY-1044,12000.00,2026-08-17,SETTLED
SET-1045,PAY-1045,12250.00,2026-08-03,SETTLED
SET-1046,PAY-1046,12500.00,2026-08-04,SETTLED
SET-1047,PAY-1047,12750.00,2026-08-05,SETTLED
SET-1048,PAY-1048,13000.00,2026-08-06,SETTLED
SET-1049,PAY-1049,13250.00,2026-08-07,SETTLED
SET-1050,PAY-1050,13500.00,2026-08-08,SETTLED
SET-1051,PAY-1051,13750.00,2026-08-09,SETTLED
SET-1052,PAY-1052,14000.00,2026-08-10,SETTLED
SET-1053,PAY-1053,14250.00,2026-08-11,SETTLED
SET-1054,PAY-1054,14500.00,2026-08-12,SETTLED
SET-1055,PAY-1055,14750.00,2026-08-13,SETTLED
SET-1056,PAY-1056,15000.00,2026-08-14,SETTLED
SET-1057,PAY-1057,15250.00,2026-08-15,SETTLED
SET-1058,PAY-1058,15500.00,2026-08-16,SETTLED
SET-1059,PAY-1059,15750.00,2026-08-17,SETTLED
SET-1060,PAY-1060,16000.00,2026-08-03,SETTLED
SET-1061,PAY-1061,16250.00,2026-08-04,SETTLED
SET-1062,PAY-1062,16500.00,2026-08-05,SETTLED
SET-1063,PAY-1063,16750.00,2026-08-06,SETTLED
SET-1064,PAY-1064,17000.00,2026-08-07,SETTLED
SET-1065,PAY-1065,17250.00,2026-08-08,SETTLED
SET-1066,PAY-1066,17500.00,2026-08-09,SETTLED
SET-1067,PAY-1067,17750.00,2026-08-10,SETTLED
SET-1068,PAY-1068,18000.00,2026-08-11,SETTLED
SET-1069,PAY-1069,18250.00,2026-08-12,SETTLED
SET-1070,PAY-1070,18500.00,2026-08-13,SETTLED
SET-1071,PAY-1071,18750.00,2026-08-14,SETTLED
SET-1072,PAY-1072,19000.00,2026-08-15,SETTLED
SET-1073,PAY-1073,19250.00,2026-08-16,SETTLED
SET-1074,PAY-1074,19500.00,2026-08-17,SETTLED
SET-1075,PAY-1075,19750.00,2026-08-03,SETTLED
SET-1076,PAY-1076,20000.00,2026-08-04,SETTLED
SET-1077,PAY-1077,20250.00,2026-08-05,SETTLED
SET-1078,PAY-1078,20500.00,2026-08-06,SETTLED
SET-1079,PAY-1079,20750.00,2026-08-07,SETTLED
SET-1080,PAY-1080,21000.00,2026-08-08,SETTLED
SET-1081,PAY-1081,21250.00,2026-08-09,SETTLED
SET-1082,PAY-1082,21500.00,2026-08-10,SETTLED
SET-1083,PAY-1083,21750.00,2026-08-11,SETTLED
SET-1084,PAY-1084,22000.00,2026-08-12,SETTLED
SET-1085,PAY-1085,22250.00,2026-08-13,SETTLED
SET-1086,PAY-1086,22500.00,2026-08-14,SETTLED
SET-1087,PAY-1087,22750.00,2026-08-15,SETTLED
SET-1088,PAY-1088,23000.00,2026-08-16,SETTLED
SET-1089,PAY-1089,23250.00,2026-08-17,SETTLED
SET-1090,PAY-1090,23500.00,2026-08-03,SETTLED
SET-1091,PAY-1091,23690.00,2026-08-04,SETTLED
SET-1092,PAY-1092,23930.00,2026-08-05,SETTLED
SET-1093,PAY-1093,24170.00,2026-08-06,SETTLED
SET-1094,PAY-1094,24410.00,2026-08-07,SETTLED
SET-1095,PAY-1095,24650.00,2026-08-08,SETTLED
SET-1096,PAY-1096,24890.00,2026-08-09,SETTLED
SET-1097,PAY-1097,25130.00,2026-08-10,SETTLED
SET-1098,PAY-1098,25370.00,2026-08-11,SETTLED
SET-1099,PAY-1099,25610.00,2026-08-12,SETTLED
SET-1100,PAY-1100,25950.00,2026-08-13,SETTLED
SET-1101,PAY-1101,26190.00,2026-08-14,SETTLED
SET-1102,PAY-1102,26430.00,2026-08-15,SETTLED
