invoice_id,customer_id,amount,invoice_date,status
INV-1001,CUST-501,1250.00,2026-08-02,POSTED
INV-1002,CUST-502,1500.00,2026-08-03,POSTED
INV-1003,CUST-503,1750.00,2026-08-04,POSTED
INV-1004,CUST-504,2000.00,2026-08-05,POSTED
INV-1005,CUST-505,2250.00,2026-08-06,POSTED
INV-1006,CUST-506,2500.00,2026-08-07,POSTED
INV-1007,CUST-507,2750.00,2026-08-08,POSTED
INV-1008,CUST-508,3000.00,2026-08-09,POSTED
INV-1009,CUST-509,3250.00,2026-08-10,POSTED
INV-1010,CUST-510,3500.00,2026-08-11,POSTED
INV-1011,CUST-511,3750.00,2026-08-12,POSTED
INV-1012,CUST-512,4000.00,2026-08-13,POSTED
INV-1013,CUST-513,4250.00,2026-08-14,POSTED
INV-1014,CUST-514,4500.00,2026-08-15,POSTED
INV-1015,CUST-515,4750.00,2026-08-01,POSTED
INV-1016,CUST-516,5000.00,2026-08-02,POSTED
INV-1017,CUST-517,20000.00,2026-08-03,POSTED
INV-1018,CUST-518,5500.00,2026-08-04,POSTED
INV-1019,CUST-519,5750.00,2026-08-05,POSTED
INV-1020,CUST-500,6000.00,2026-08-06,POSTED
INV-1021,CUST-501,6250.00,2026-08-07,POSTED
INV-1022,CUST-502,6500.00,2026-08-08,POSTED
INV-1023,CUST-503,6750.00,2026-08-09,POSTED
INV-1024,CUST-504,7000.00,2026-08-10,POSTED
INV-1025,CUST-505,7250.00,2026-08-11,POSTED
INV-1026,CUST-506,7500.00,2026-08-12,POSTED
INV-1027,CUST-507,7750.00,2026-08-13,POSTED
INV-1028,CUST-508,8000.00,2026-08-14,POSTED
INV-1029,CUST-509,8250.00,2026-08-15,POSTED
INV-1030,CUST-510,8500.00,2026-08-01,POSTED
INV-1031,CUST-511,8750.00,2026-08-02,POSTED
INV-1032,CUST-512,9000.00,2026-08-03,POSTED
INV-1033,CUST-513,9250.00,2026-08-04,POSTED
INV-1034,CUST-514,9500.00,2026-08-05,POSTED
INV-1035,CUST-515,9750.00,2026-08-06,POSTED
INV-1036,CUST-516,10000.00,2026-08-07,POSTED
INV-1037,CUST-517,10250.00,2026-08-08,POSTED
INV-1038,CUST-518,10500.00,2026-08-09,POSTED
INV-1039,CUST-519,10750.00,2026-08-10,POSTED
INV-1040,CUST-500,11000.00,2026-08-11,POSTED
INV-1041,CUST-501,11250.00,2026-08-12,POSTED
INV-1042,CUST-502,11500.00,2026-08-13,POSTED
INV-1043,CUST-503,11750.00,2026-08-14,POSTED
INV-1044,CUST-504,12000.00,2026-08-15,POSTED
INV-1045,CUST-505,12250.00,2026-08-01,POSTED
INV-1046,CUST-506,12500.00,2026-08-02,POSTED
INV-1047,CUST-507,12750.00,2026-08-03,POSTED
INV-1048,CUST-508,13000.00,2026-08-04,POSTED
INV-1049,CUST-509,13250.00,2026-08-05,POSTED
INV-1050,CUST-510,13500.00,2026-08-06,POSTED
INV-1051,CUST-511,13750.00,2026-08-07,POSTED
INV-1052,CUST-512,14000.00,2026-08-08,POSTED
INV-1053,CUST-513,14250.00,2026-08-09,POSTED
INV-1054,CUST-514,14500.00,2026-08-10,POSTED
INV-1055,CUST-515,14750.00,2026-08-11,POSTED
INV-1056,CUST-516,15000.00,2026-08-12,POSTED
INV-1057,CUST-517,15250.00,2026-08-13,POSTED
INV-1058,CUST-518,15500.00,2026-08-14,POSTED
INV-1059,CUST-519,15750.00,2026-08-15,POSTED
INV-1060,CUST-500,16000.00,2026-08-01,POSTED
INV-1061,CUST-501,16250.00,2026-08-02,POSTED
INV-1062,CUST-502,16500.00,2026-08-03,POSTED
INV-1063,CUST-503,16750.00,2026-08-04,POSTED
INV-1064,CUST-504,17000.00,2026-08-05,POSTED
INV-1065,CUST-505,17250.00,2026-08-06,POSTED
INV-1066,CUST-506,17500.00,2026-08-07,POSTED
INV-1067,CUST-507,17750.00,2026-08-08,POSTED
INV-1068,CUST-508,18000.00,2026-08-09,POSTED
INV-1069,CUST-509,18250.00,2026-08-10,POSTED
INV-1070,CUST-510,18500.00,2026-08-11,POSTED
INV-1071,CUST-511,18750.00,2026-08-12,POSTED
INV-1072,CUST-512,19000.00,2026-08-13,POSTED
INV-1073,CUST-513,19250.00,2026-08-14,POSTED
INV-1074,CUST-514,19500.00,2026-08-15,POSTED
INV-1075,CUST-515,19750.00,2026-08-01,POSTED
INV-1076,CUST-516,20000.00,2026-08-02,POSTED
INV-1077,CUST-517,20250.00,2026-08-03,POSTED
INV-1078,CUST-518,20500.00,2026-08-04,POSTED
INV-1079,CUST-519,20750.00,2026-08-05,POSTED
INV-1080,CUST-500,21000.00,2026-08-06,POSTED
INV-1081,CUST-501,21250.00,2026-08-07,POSTED
INV-1082,CUST-502,21500.00,2026-08-08,POSTED
INV-1083,CUST-503,21750.00,2026-08-09,POSTED
INV-1084,CUST-504,22000.00,2026-08-10,POSTED
INV-1085,CUST-505,22250.00,2026-08-11,POSTED
INV-1086,CUST-506,22500.00,2026-08-12,POSTED
INV-1087,CUST-507,22750.00,2026-08-13,POSTED
INV-1088,CUST-508,23000.00,2026-08-14,POSTED
INV-1089,CUST-509,23250.00,2026-08-15,POSTED
INV-1090,CUST-510,23500.00,2026-08-01,POSTED
INV-1091,CUST-511,23750.00,2026-08-02,POSTED
INV-1092,CUST-512,24000.00,2026-08-03,POSTED
INV-1093,CUST-513,24250.00,2026-08-04,POSTED
INV-1094,CUST-514,24500.00,2026-08-05,POSTED
INV-1095,CUST-515,24750.00,2026-08-06,POSTED
INV-1096,CUST-516,25000.00,2026-08-07,POSTED
INV-1097,CUST-517,25250.00,2026-08-08,POSTED
INV-1098,CUST-518,25500.00,2026-08-09,POSTED
INV-1099,CUST-519,25750.00,2026-08-10,POSTED
INV-1100,CUST-500,26000.00,2026-08-11,POSTED
INV-1101,CUST-501,26250.00,2026-08-12,POSTED
INV-1102,CUST-502,26500.00,2026-08-13,POSTED
INV-1103,CUST-503,26750.00,2026-08-14,POSTED
INV-1104,CUST-504,27000.00,2026-08-15,POSTED
INV-1105,CUST-505,27250.00,2026-08-01,POSTED
INV-1106,CUST-506,27500.00,2026-08-02,POSTED
INV-1107,CUST-507,27750.00,2026-08-03,POSTED
INV-1108,CUST-508,28000.00,2026-08-04,POSTED
INV-1109,CUST-509,28250.00,2026-08-05,POSTED
INV-1110,CUST-510,28500.00,2026-08-06,POSTED
INV-1111,CUST-511,28750.00,2026-08-07,POSTED
INV-1112,CUST-512,29000.00,2026-08-08,POSTED
INV-1113,CUST-513,29250.00,2026-08-09,POSTED
INV-1114,CUST-514,29500.00,2026-08-10,POSTED
INV-1115,CUST-515,29750.00,2026-08-11,POSTED
INV-1116,CUST-516,30000.00,2026-08-12,POSTED
INV-1117,CUST-517,30250.00,2026-08-13,POSTED
INV-1118,CUST-518,30500.00,2026-08-14,POSTED
INV-1119,CUST-519,30750.00,2026-08-15,POSTED
INV-1120,CUST-500,31000.00,2026-08-01,POSTED
INV-1121,CUST-501,31250.00,2026-08-02,POSTED
INV-1122,CUST-502,31500.00,2026-08-03,POSTED
INV-1123,CUST-503,31750.00,2026-08-04,POSTED
INV-1124,CUST-504,32000.00,2026-08-05,POSTED
INV-1125,CUST-505,32250.00,2026-08-06,POSTED
INV-1126,CUST-506,32500.00,2026-08-07,POSTED
INV-1127,CUST-507,32750.00,2026-08-08,POSTED
INV-1128,CUST-508,33000.00,2026-08-09,POSTED
INV-1129,CUST-509,33250.00,2026-08-10,POSTED
INV-1130,CUST-510,33500.00,2026-08-11,POSTED
INV-1131,CUST-511,33750.00,2026-08-12,POSTED
INV-1132,CUST-512,34000.00,2026-08-13,POSTED
INV-1133,CUST-513,34250.00,2026-08-14,POSTED
INV-1134,CUST-514,34500.00,2026-08-15,POSTED
INV-1135,CUST-515,34750.00,2026-08-01,POSTED
INV-1136,CUST-516,35000.00,2026-08-02,POSTED
INV-1137,CUST-517,35250.00,2026-08-03,POSTED
INV-1138,CUST-518,35500.00,2026-08-04,POSTED
INV-1139,CUST-519,35750.00,2026-08-05,POSTED
INV-1140,CUST-500,36000.00,2026-08-06,POSTED
INV-1141,CUST-501,36250.00,2026-08-07,POSTED
INV-1142,CUST-502,36500.00,2026-08-08,POSTED
INV-1143,CUST-503,36750.00,2026-08-09,POSTED
INV-1144,CUST-504,37000.00,2026-08-10,POSTED
INV-1145,CUST-505,37250.00,2026-08-11,POSTED
INV-1146,CUST-506,37500.00,2026-08-12,POSTED
INV-1147,CUST-507,37750.00,2026-08-13,POSTED
INV-1148,CUST-508,38000.00,2026-08-14,POSTED
INV-1149,CUST-509,38250.00,2026-08-15,POSTED
INV-1150,CUST-510,38500.00,2026-08-01,POSTED
