payment_id,invoice_id,amount,payment_date,fee,status
PAY-1001,INV-1001,1250.00,2026-08-03,0.00,SUCCESS
PAY-1002,INV-1002,1500.00,2026-08-04,0.00,SUCCESS
PAY-1003,INV-1003,1750.00,2026-08-05,0.00,SUCCESS
PAY-1004,INV-1004,2000.00,2026-08-06,0.00,SUCCESS
PAY-1005,INV-1005,2250.00,2026-08-07,0.00,SUCCESS
PAY-1006,INV-1006,2500.00,2026-08-08,0.00,SUCCESS
PAY-1007,INV-1007,2750.00,2026-08-09,0.00,SUCCESS
PAY-1008,INV-1008,3000.00,2026-08-10,0.00,SUCCESS
PAY-1009,INV-1009,3250.00,2026-08-11,0.00,SUCCESS
PAY-1010,INV-1010,3500.00,2026-08-12,0.00,SUCCESS
PAY-1011,INV-1011,3750.00,2026-08-13,0.00,SUCCESS
PAY-1012,INV-1012,4000.00,2026-08-14,0.00,SUCCESS
PAY-1013,INV-1013,4250.00,2026-08-15,0.00,SUCCESS
PAY-1014,INV-1014,4500.00,2026-08-16,0.00,SUCCESS
PAY-1015,INV-1015,4750.00,2026-08-02,0.00,SUCCESS
PAY-1016,INV-1016,5000.00,2026-08-03,0.00,SUCCESS
PAY-1017,INV-1017,20000.00,2026-08-04,600.00,SUCCESS
PAY-1018,INV-1018,5500.00,2026-08-05,0.00,SUCCESS
PAY-1019,INV-1019,5750.00,2026-08-06,0.00,SUCCESS
PAY-1020,INV-1020,6000.00,2026-08-07,0.00,SUCCESS
PAY-1021,INV-1021,6250.00,2026-08-08,0.00,SUCCESS
PAY-1022,INV-1022,6500.00,2026-08-09,0.00,SUCCESS
PAY-1023,INV-1023,6750.00,2026-08-10,0.00,SUCCESS
PAY-1024,INV-1024,7000.00,2026-08-11,0.00,SUCCESS
PAY-1025,INV-1025,7250.00,2026-08-12,0.00,SUCCESS
PAY-1026,INV-1026,7500.00,2026-08-13,0.00,SUCCESS
PAY-1027,INV-1027,7750.00,2026-08-14,0.00,SUCCESS
PAY-1028,INV-1028,8000.00,2026-08-15,0.00,SUCCESS
PAY-1029,INV-1029,8250.00,2026-08-16,0.00,SUCCESS
PAY-1030,INV-1030,8500.00,2026-08-02,0.00,SUCCESS
PAY-1031,INV-1031,8750.00,2026-08-03,0.00,SUCCESS
PAY-1032,INV-1032,9000.00,2026-08-04,0.00,SUCCESS
PAY-1033,INV-1033,9250.00,2026-08-05,0.00,SUCCESS
PAY-1034,INV-1034,9500.00,2026-08-06,0.00,SUCCESS
PAY-1035,INV-1035,9750.00,2026-08-07,0.00,SUCCESS
PAY-1036,INV-1036,10000.00,2026-08-08,0.00,SUCCESS
PAY-1037,INV-1037,10250.00,2026-08-09,0.00,SUCCESS
PAY-1038,INV-1038,10500.00,2026-08-10,0.00,SUCCESS
PAY-1039,INV-1039,10750.00,2026-08-11,0.00,SUCCESS
PAY-1040,INV-1040,11000.00,2026-08-12,0.00,SUCCESS
PAY-1041,INV-1041,11250.00,2026-08-13,0.00,SUCCESS
PAY-1042,INV-1042,11500.00,2026-08-14,0.00,SUCCESS
PAY-1043,INV-1043,11750.00,2026-08-15,0.00,SUCCESS
PAY-1044,INV-1044,12000.00,2026-08-16,0.00,SUCCESS
PAY-1045,INV-1045,12250.00,2026-08-02,0.00,SUCCESS
PAY-1046,INV-1046,12500.00,2026-08-03,0.00,SUCCESS
PAY-1047,INV-1047,12750.00,2026-08-04,0.00,SUCCESS
PAY-1048,INV-1048,13000.00,2026-08-05,0.00,SUCCESS
PAY-1049,INV-1049,13250.00,2026-08-06,0.00,SUCCESS
PAY-1050,INV-1050,13500.00,2026-08-07,0.00,SUCCESS
PAY-1051,INV-1051,13750.00,2026-08-08,0.00,SUCCESS
PAY-1052,INV-1052,14000.00,2026-08-09,0.00,SUCCESS
PAY-1053,INV-1053,14250.00,2026-08-10,0.00,SUCCESS
PAY-1054,INV-1054,14500.00,2026-08-11,0.00,SUCCESS
PAY-1055,INV-1055,14750.00,2026-08-12,0.00,SUCCESS
PAY-1056,INV-1056,15000.00,2026-08-13,0.00,SUCCESS
PAY-1057,INV-1057,15250.00,2026-08-14,0.00,SUCCESS
PAY-1058,INV-1058,15500.00,2026-08-15,0.00,SUCCESS
PAY-1059,INV-1059,15750.00,2026-08-16,0.00,SUCCESS
PAY-1060,INV-1060,16000.00,2026-08-02,0.00,SUCCESS
PAY-1061,INV-1061,16250.00,2026-08-03,0.00,SUCCESS
PAY-1062,INV-1062,16500.00,2026-08-04,0.00,SUCCESS
PAY-1063,INV-1063,16750.00,2026-08-05,0.00,SUCCESS
PAY-1064,INV-1064,17000.00,2026-08-06,0.00,SUCCESS
PAY-1065,INV-1065,17250.00,2026-08-07,0.00,SUCCESS
PAY-1066,INV-1066,17500.00,2026-08-08,0.00,SUCCESS
PAY-1067,INV-1067,17750.00,2026-08-09,0.00,SUCCESS
PAY-1068,INV-1068,18000.00,2026-08-10,0.00,SUCCESS
PAY-1069,INV-1069,18250.00,2026-08-11,0.00,SUCCESS
PAY-1070,INV-1070,18500.00,2026-08-12,0.00,SUCCESS
PAY-1071,INV-1071,18750.00,2026-08-13,0.00,SUCCESS
PAY-1072,INV-1072,19000.00,2026-08-14,0.00,SUCCESS
PAY-1073,INV-1073,19250.00,2026-08-15,0.00,SUCCESS
PAY-1074,INV-1074,19500.00,2026-08-16,0.00,SUCCESS
PAY-1075,INV-1075,19750.00,2026-08-02,0.00,SUCCESS
PAY-1076,INV-1076,20000.00,2026-08-03,0.00,SUCCESS
PAY-1077,INV-1077,20250.00,2026-08-04,0.00,SUCCESS
PAY-1078,INV-1078,20500.00,2026-08-05,0.00,SUCCESS
PAY-1079,INV-1079,20750.00,2026-08-06,0.00,SUCCESS
PAY-1080,INV-1080,21000.00,2026-08-07,0.00,SUCCESS
PAY-1081,INV-1081,21250.00,2026-08-08,0.00,SUCCESS
PAY-1082,INV-1082,21500.00,2026-08-09,0.00,SUCCESS
PAY-1083,INV-1083,21750.00,2026-08-10,0.00,SUCCESS
